review_text,sentiment_label,sentiment_score,identified_theme
it's not working,NEGATIVE,0.9997857213020325,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",NEGATIVE,0.9994151592254639,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
exceptional,POSITIVE,0.9998514652252197,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
BoA Mobile good bank,POSITIVE,0.9984728693962097,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
this is worest app 24/7 loading,NEGATIVE,0.9934743046760559,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
This App is not interest for Android phone Please update it .,NEGATIVE,0.9971383810043335,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
BoA system is confartable,NEGATIVE,0.9980142116546631,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",NEGATIVE,0.9998049139976501,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
Good service.,POSITIVE,0.9998533725738525,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
the app crush frequently,NEGATIVE,0.998525083065033,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
good,POSITIVE,0.9998161196708679,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
You guys keeps getting worst,NEGATIVE,0.9997075200080872,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",NEGATIVE,0.9990266561508179,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
BoA,NEGATIVE,0.7410509586334229,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
but not opening on android,NEGATIVE,0.9952228665351868,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,NEGATIVE,0.9997984766960144,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
amazing,POSITIVE,0.999875545501709,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
excellent app,POSITIVE,0.9998356103897095,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
excellent,POSITIVE,0.9998434782028198,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
ሞላዬ ከበደ,NEGATIVE,0.7850579619407654,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
"this app does no work on Samsung a51, it just gives a preview of the logo",NEGATIVE,0.9992283582687378,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
nice,POSITIVE,0.9998552799224854,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",NEGATIVE,0.9994921684265137,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
Best app,POSITIVE,0.999686598777771,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
liking this application good 👍,POSITIVE,0.9996829032897949,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",NEGATIVE,0.9989790916442871,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
good,POSITIVE,0.9998161196708679,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
wow,POSITIVE,0.999592125415802,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
it's really good 👍,POSITIVE,0.9998701810836792,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
Bad app . it stuck when you open and noting WORKS.,NEGATIVE,0.9995198249816895,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
"the app isn't working after it asked me the password it starts loading, but it doesn't open",NEGATIVE,0.9997255206108093,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
Best,POSITIVE,0.9997941851615906,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,NEGATIVE,0.9996699094772339,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
yideg,NEGATIVE,0.7675832509994507,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
አይከፍትም እኮ,NEGATIVE,0.7850579619407654,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
great boa,POSITIVE,0.9992689490318298,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
Best,POSITIVE,0.9997941851615906,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
boa of mobile backing,NEGATIVE,0.980626106262207,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
faster bank of Abissinya,POSITIVE,0.9722140431404114,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,NEGATIVE,0.9996716976165771,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
it just doesn't work...so frustrating,NEGATIVE,0.999774158000946,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
like,POSITIVE,0.9910564422607422,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
it's not work correctly... you must have update it,NEGATIVE,0.9998013377189636,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",POSITIVE,0.9575355648994446,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
after i typed in my password it says successfully logged out ...and goes back to the first page,NEGATIVE,0.5856828093528748,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
good but they don't update enough don't add new things,NEGATIVE,0.9693677425384521,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
very good,POSITIVE,0.9998520612716675,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
thank you,POSITIVE,0.9998352527618408,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
it doesn't work period z slowest mobile banking ever i would rather use *815#,NEGATIVE,0.9990907907485962,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",NEGATIVE,0.9973751306533813,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
good application,POSITIVE,0.999854564666748,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
this version is not working for me I cannot even buy card. I cannot send money,NEGATIVE,0.9995684027671814,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",NEGATIVE,0.9996182918548584,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
always problematic hardly works,NEGATIVE,0.9995555281639099,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
considering the fact the bank is huge this app really bad you could do better,NEGATIVE,0.9997418522834778,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
best app,POSITIVE,0.999686598777771,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
"worst app and Bank ever u be ashamed, scammer",NEGATIVE,0.9998050332069397,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
great BoA,POSITIVE,0.9992689490318298,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
best,POSITIVE,0.9997941851615906,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,NEGATIVE,0.9988333582878113,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
there is no speed,NEGATIVE,0.9994422793388367,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
"For anyone who wants to download it, just don't!!!",NEGATIVE,0.9993981122970581,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
wonderful,POSITIVE,0.9998772144317627,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
all worck,NEGATIVE,0.9971314668655396,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
Loved it,POSITIVE,0.9998797178268433,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
Wow,POSITIVE,0.999592125415802,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",NEGATIVE,0.9985970854759216,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
Improved to be the best,POSITIVE,0.9998570680618286,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
BoA,NEGATIVE,0.7410509586334229,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",NEGATIVE,0.9974843263626099,"Account Access Issues, Feature Requests, User Interface & Experience, Transaction Performance, Customer Support"
