review_text,sentiment_label,sentiment_score,identified_theme
really am happy to this app it is Siple to use everything,POSITIVE,0.9988697171211243,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
I liked this app. But the User interface is very basic and not attractive at all.,NEGATIVE,0.9996840953826904,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",NEGATIVE,0.9964652061462402,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
what is this app problem???,NEGATIVE,0.9996225833892822,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
the app is proactive and a good connections.,POSITIVE,0.9998679161071777,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
I cannot send to cbebirr app. through this app.,NEGATIVE,0.9953354001045227,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
good,POSITIVE,0.9998161196708679,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
not functional,NEGATIVE,0.999778687953949,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",NEGATIVE,0.9905161261558533,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,NEGATIVE,0.9616846442222595,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
best,POSITIVE,0.9997941851615906,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
bezabih,POSITIVE,0.9654073715209961,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
Best Mobile Banking app ever,POSITIVE,0.9997294545173645,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
good,POSITIVE,0.9998161196708679,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,NEGATIVE,0.9981192946434021,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
Good,POSITIVE,0.9998161196708679,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
👌👍,NEGATIVE,0.6970561146736145,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
very niec,POSITIVE,0.5192647576332092,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
best app of finance,POSITIVE,0.9996503591537476,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
yetemeta,POSITIVE,0.655366837978363,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
Engida Kebede Fetera,NEGATIVE,0.8396734595298767,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
it is not safety,NEGATIVE,0.9997867941856384,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
NICE bank,POSITIVE,0.9998055100440979,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
it is like a childish app make it better the worst I have ever seen,NEGATIVE,0.9997958540916443,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
"It's a problem solver application, go ahead CBE, I love so much.",POSITIVE,0.9997678399085999,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
It's good but try to make it facilitate for your client,POSITIVE,0.9491761326789856,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
best app,POSITIVE,0.999686598777771,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
Awesome bank,POSITIVE,0.9998461008071899,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,NEGATIVE,0.9983141422271729,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
Masha alla,NEGATIVE,0.9514628052711487,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",NEGATIVE,0.9991102814674377,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
better service,POSITIVE,0.9982219338417053,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
"it,s good app and time manager 👍",POSITIVE,0.9998370409011841,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
malkaamuu Jiidhaa Namoo,NEGATIVE,0.9887813329696655,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
lower system everything,NEGATIVE,0.9993475079536438,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
Nice!,POSITIVE,0.999863862991333,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
Keep it up My CBE,POSITIVE,0.9996104836463928,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
yes good,POSITIVE,0.9998410940170288,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",NEGATIVE,0.9996353387832642,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
i like everything of this app,POSITIVE,0.9996908903121948,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
🤬🤬🤬🤬 network 🛜,NEGATIVE,0.6856114864349365,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
Best,POSITIVE,0.9997941851615906,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,POSITIVE,0.9982792139053345,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
nice,POSITIVE,0.9998552799224854,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
good job,POSITIVE,0.999835729598999,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
it's awesome!!,POSITIVE,0.999871015548706,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
thankyou every one,POSITIVE,0.9998461008071899,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
Ronaldo 🇵🇹 🥇,POSITIVE,0.9948287606239319,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",POSITIVE,0.9998852014541626,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",NEGATIVE,0.9997394680976868,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
mortuary app,NEGATIVE,0.7924908995628357,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
it is smart app but it has stoped after some period of time on my device with out any reason .,NEGATIVE,0.9961044788360596,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
amazing app I am used this app for one year,POSITIVE,0.9991408586502075,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
👍,NEGATIVE,0.6970561146736145,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
good app,POSITIVE,0.9998493194580078,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
i love it 😍😘,POSITIVE,0.9998791217803955,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
It makes life easy!👌,POSITIVE,0.9993600249290466,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
its not fast,NEGATIVE,0.9949808716773987,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
wow,POSITIVE,0.999592125415802,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
it is sooo good,POSITIVE,0.9998735189437866,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
excellent,POSITIVE,0.9998434782028198,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
ok,POSITIVE,0.9997851252555847,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
Fantastic,POSITIVE,0.9998743534088135,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
accessible to using,POSITIVE,0.999116837978363,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
I like it,POSITIVE,0.9998593330383301,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
why you change default network?,NEGATIVE,0.9962357878684998,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
very nice 👍,POSITIVE,0.9998577833175659,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
nice fast app,POSITIVE,0.999833345413208,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
how to I get my money,NEGATIVE,0.9934091567993164,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
"Very bad, can't even load they need to improve their services.",NEGATIVE,0.9998165965080261,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
"Very good app, but please make it reliable . it crashes sometimes .",POSITIVE,0.9649856686592102,"Feature Requests, Account Access Issues, Transaction Performance, User Interface & Experience, Customer Support"
